Date,Open,High,Low,Close,Volume
17/2/2016 15:00,18963,18981,18930,18954,4371
17/2/2016 14:45,18996,18997,18941,18959,3133
17/2/2016 14:30,18942,19002,18934,18996,3282
17/2/2016 14:15,19008,19012,18939,18944,4373
17/2/2016 14:00,19020,19045,18994,19009,3610
17/2/2016 13:45,19013,19026,18983,19020,3314
17/2/2016 13:30,19007,19040,18978,19014,4728
17/2/2016 13:15,19020,19042,18995,19009,4057
17/2/2016 13:00,19019,19054,18985,19022,5070
17/2/2016 11:45,19064,19067,19020,19029,2067
17/2/2016 11:30,19059,19077,19020,19063,5834
17/2/2016 11:15,19170,19185,19057,19059,6280
17/2/2016 11:00,19209,19218,19164,19170,4538
17/2/2016 10:45,19224,19258,19202,19209,4141
17/2/2016 10:30,19259,19281,19219,19225,4855
17/2/2016 10:15,19288,19307,19256,19260,5755
17/2/2016 10:00,19237,19299,19221,19289,7761
17/2/2016 9:45,19181,19245,19177,19238,6484
17/2/2016 9:30,19186,19235,19157,19182,8369
17/2/2016 9:15,19233,19238,19155,19187,5762
17/2/2016 9:00,19250,19250,19227,19231,532
16/2/2016 16:00,19104,19141,19070,19141,3899
16/2/2016 15:45,19127,19132,19075,19105,4030
16/2/2016 15:30,19127,19138,19094,19127,2659
16/2/2016 15:15,19091,19136,19085,19128,2628
16/2/2016 15:00,19140,19140,19060,19090,4779
16/2/2016 14:45,19155,19155,19117,19140,3229
16/2/2016 14:30,19170,19181,19154,19155,2447
16/2/2016 14:15,19138,19176,19120,19168,3054
16/2/2016 14:00,19132,19157,19113,19137,3077
16/2/2016 13:45,19176,19177,19120,19130,5385
16/2/2016 13:30,19232,19234,19159,19177,5253
16/2/2016 13:15,19249,19272,19229,19231,2910
16/2/2016 13:00,19229,19250,19217,19249,2520
16/2/2016 11:45,19232,19237,19214,19222,1293
16/2/2016 11:30,19218,19243,19212,19232,1683
16/2/2016 11:15,19224,19231,19204,19217,3065
16/2/2016 11:00,19220,19242,19199,19223,3771
16/2/2016 10:45,19242,19257,19202,19220,4874
16/2/2016 10:30,19184,19243,19165,19243,6222
16/2/2016 10:15,19149,19199,19141,19183,4908
16/2/2016 10:00,19114,19175,19107,19149,6979
16/2/2016 9:45,19041,19137,19023,19113,8790
16/2/2016 9:30,18949,19043,18925,19041,9980
16/2/2016 9:15,18980,18995,18892,18950,7215
16/2/2016 9:00,18990,18990,18972,18979,211
15/2/2016 16:00,18921,18921,18832,18835,6315
15/2/2016 15:45,18895,18932,18890,18921,5164
15/2/2016 15:30,18868,18899,18863,18894,2894
15/2/2016 15:15,18889,18892,18862,18866,2487
15/2/2016 15:00,18851,18892,18827,18891,3118
15/2/2016 14:45,18871,18872,18824,18853,2979
15/2/2016 14:30,18868,18913,18867,18871,3654
15/2/2016 14:15,18847,18873,18839,18868,2736
15/2/2016 14:00,18844,18863,18824,18846,3187
15/2/2016 13:45,18864,18878,18838,18845,3340
15/2/2016 13:30,18860,18892,18848,18863,2667
15/2/2016 13:15,18848,18889,18845,18859,4026
15/2/2016 13:00,18826,18860,18810,18850,2875
15/2/2016 11:45,18836,18862,18820,18820,2093
15/2/2016 11:30,18756,18845,18751,18834,5726
15/2/2016 11:15,18762,18768,18739,18757,2973
15/2/2016 11:00,18724,18770,18722,18761,3859
15/2/2016 10:45,18697,18728,18687,18724,2924
15/2/2016 10:30,18718,18738,18696,18696,3279
15/2/2016 10:15,18722,18754,18703,18717,4520
15/2/2016 10:00,18752,18758,18690,18722,5313
15/2/2016 9:45,18699,18779,18696,18753,5543
15/2/2016 9:30,18683,18748,18678,18700,7123
15/2/2016 9:15,18668,18741,18621,18683,7507
15/2/2016 9:00,18648,18675,18642,18675,602
12/2/2016 16:00,18315,18388,18313,18372,4391
12/2/2016 15:45,18312,18339,18300,18312,4312
12/2/2016 15:30,18366,18367,18310,18312,3427
12/2/2016 15:15,18360,18392,18349,18364,2394
12/2/2016 15:00,18359,18378,18337,18361,2761
12/2/2016 14:45,18392,18413,18354,18359,2594
12/2/2016 14:30,18363,18398,18346,18393,1438
12/2/2016 14:15,18359,18365,18324,18364,2052
12/2/2016 14:00,18390,18398,18351,18358,1888
12/2/2016 13:45,18384,18392,18348,18391,2756
12/2/2016 13:30,18405,18416,18380,18386,1470
12/2/2016 13:15,18413,18416,18374,18405,2733
12/2/2016 13:00,18412,18484,18404,18413,3834
12/2/2016 11:45,18423,18459,18413,18440,2623
12/2/2016 11:30,18379,18430,18378,18424,3495
12/2/2016 11:15,18337,18408,18330,18380,2959
12/2/2016 11:00,18297,18347,18296,18336,2032
12/2/2016 10:45,18349,18361,18293,18298,2664
12/2/2016 10:30,18348,18376,18332,18350,2380
12/2/2016 10:15,18379,18380,18341,18350,2979
12/2/2016 10:00,18424,18428,18360,18380,3839
12/2/2016 9:45,18373,18449,18364,18425,5504
12/2/2016 9:30,18284,18373,18273,18373,5977
12/2/2016 9:15,18282,18298,18217,18285,5209
12/2/2016 9:00,18279,18283,18271,18283,640
11/2/2016 16:00,18480,18484,18375,18378,5024
11/2/2016 15:45,18494,18502,18454,18482,4358
11/2/2016 15:30,18468,18501,18454,18493,2809
11/2/2016 15:15,18468,18505,18453,18466,3207
11/2/2016 15:00,18464,18485,18443,18469,2616
11/2/2016 14:45,18439,18467,18422,18464,1823
11/2/2016 14:30,18442,18458,18427,18438,1499
11/2/2016 14:15,18403,18453,18400,18440,1984
11/2/2016 14:00,18425,18441,18397,18403,2149
11/2/2016 13:45,18482,18482,18417,18424,2031
11/2/2016 13:30,18501,18508,18465,18483,1434
11/2/2016 13:15,18489,18511,18482,18503,834
11/2/2016 13:00,18484,18526,18480,18487,1807
11/2/2016 11:45,18468,18488,18456,18481,1170
11/2/2016 11:30,18492,18496,18446,18468,2043
11/2/2016 11:15,18531,18536,18485,18492,2181
11/2/2016 11:00,18539,18573,18526,18529,1888
11/2/2016 10:45,18526,18553,18519,18538,1774
11/2/2016 10:30,18502,18532,18501,18526,1967
11/2/2016 10:15,18541,18545,18499,18503,2361
11/2/2016 10:00,18523,18554,18485,18541,3562
11/2/2016 9:45,18557,18587,18474,18525,5910
11/2/2016 9:30,18330,18558,18326,18556,8919
11/2/2016 9:15,18400,18409,18270,18331,6532
11/2/2016 9:00,18400,18405,18383,18399,1222
5/2/2016 16:00,19286,19356,19251,19313,3473
5/2/2016 15:45,19248,19292,19248,19288,3113
5/2/2016 15:30,19232,19255,19213,19251,2641
5/2/2016 15:15,19252,19279,19229,19232,2404
5/2/2016 15:00,19295,19309,19252,19253,2870
5/2/2016 14:45,19278,19320,19264,19296,2600
5/2/2016 14:30,19259,19298,19253,19277,2605
5/2/2016 14:15,19230,19266,19228,19259,2143
5/2/2016 14:00,19285,19285,19218,19231,3635
5/2/2016 13:45,19326,19338,19273,19284,3118
5/2/2016 13:30,19325,19328,19288,19327,2955
5/2/2016 13:15,19280,19352,19264,19326,3729
5/2/2016 13:00,19268,19315,19260,19280,2493
5/2/2016 11:45,19263,19273,19243,19270,1235
5/2/2016 11:30,19238,19285,19238,19263,1528
5/2/2016 11:15,19245,19270,19238,19238,2351
5/2/2016 11:00,19230,19259,19216,19246,2351
5/2/2016 10:45,19243,19252,19208,19230,3589
5/2/2016 10:30,19272,19273,19218,19243,4839
5/2/2016 10:15,19352,19376,19271,19274,4284
5/2/2016 10:00,19370,19380,19333,19350,3814
5/2/2016 9:45,19371,19398,19361,19371,4999
5/2/2016 9:30,19260,19409,19254,19372,9014
5/2/2016 9:15,19189,19319,19186,19260,4537
5/2/2016 9:00,19188,19203,19186,19191,206
4/2/2016 16:00,19186,19208,19153,19156,3580
4/2/2016 15:45,19220,19230,19161,19184,4967
4/2/2016 15:30,19269,19269,19212,19221,3349
4/2/2016 15:15,19288,19297,19259,19267,2092
4/2/2016 15:00,19300,19302,19257,19285,2940
4/2/2016 14:45,19264,19309,19261,19300,2914
4/2/2016 14:30,19234,19275,19233,19264,2892
4/2/2016 14:15,19241,19246,19222,19235,1883
4/2/2016 14:00,19214,19242,19211,19241,2114
4/2/2016 13:45,19223,19238,19189,19213,3685
4/2/2016 13:30,19267,19271,19219,19226,2540
4/2/2016 13:15,19236,19275,19231,19268,2727
4/2/2016 13:00,19268,19277,19213,19237,3550
4/2/2016 11:45,19273,19288,19261,19284,1307
4/2/2016 11:30,19267,19289,19256,19273,1937
4/2/2016 11:15,19280,19297,19250,19267,3773
4/2/2016 11:00,19305,19305,19278,19280,3141
4/2/2016 10:45,19319,19357,19293,19306,4077
4/2/2016 10:30,19283,19345,19280,19318,5093
4/2/2016 10:15,19313,19318,19263,19281,4540
4/2/2016 10:00,19336,19340,19271,19312,5870
4/2/2016 9:45,19247,19355,19239,19334,7562
4/2/2016 9:30,19284,19318,19227,19248,9044
4/2/2016 9:15,19180,19313,19115,19286,8373
4/2/2016 9:00,19188,19191,19157,19180,582
3/2/2016 16:00,18991,19010,18961,18978,4114
3/2/2016 15:45,18996,19012,18964,18993,4644
3/2/2016 15:30,18970,19002,18955,18995,3312
3/2/2016 15:15,18999,19029,18953,18970,4137
3/2/2016 15:00,18979,19022,18978,18997,3789
3/2/2016 14:45,19009,19019,18947,18979,3980
3/2/2016 14:30,18917,19011,18900,19009,4222
3/2/2016 14:15,18918,18934,18898,18917,2654
3/2/2016 14:00,18919,18919,18875,18918,2863
3/2/2016 13:45,18905,18923,18864,18917,3459
3/2/2016 13:30,18903,18922,18883,18906,2658
3/2/2016 13:15,18899,18929,18875,18902,3948
3/2/2016 13:00,18926,18938,18882,18899,3507
3/2/2016 11:45,18884,18960,18874,18946,3359
3/2/2016 11:30,18831,18897,18825,18884,3209
3/2/2016 11:15,18882,18906,18826,18830,4826
3/2/2016 11:00,18860,18907,18848,18881,4948
3/2/2016 10:45,18837,18887,18815,18861,4302
3/2/2016 10:30,18849,18881,18823,18837,4725
3/2/2016 10:15,18826,18855,18794,18850,5044
3/2/2016 10:00,18783,18831,18768,18828,6617
3/2/2016 9:45,18869,18870,18752,18783,9365
3/2/2016 9:30,18815,18872,18733,18868,11722
3/2/2016 9:15,18970,18985,18779,18814,10454
3/2/2016 9:00,19000,19000,18950,18971,484
2/2/2016 16:00,19431,19450,19405,19442,3194
2/2/2016 15:45,19510,19510,19417,19429,4148
2/2/2016 15:30,19530,19550,19493,19511,3316
2/2/2016 15:15,19497,19575,19492,19529,4313
2/2/2016 15:00,19517,19517,19472,19495,3596
2/2/2016 14:45,19505,19533,19489,19516,3795
2/2/2016 14:30,19411,19520,19407,19504,5367
2/2/2016 14:15,19422,19463,19405,19412,3513
2/2/2016 14:00,19391,19437,19382,19422,3782
2/2/2016 13:45,19413,19452,19388,19391,3741
2/2/2016 13:30,19413,19444,19387,19412,3417
2/2/2016 13:15,19433,19437,19376,19414,4059
2/2/2016 13:00,19382,19460,19380,19433,3542
2/2/2016 11:45,19396,19409,19367,19409,4035
2/2/2016 11:30,19474,19488,19392,19394,4247
2/2/2016 11:15,19525,19545,19455,19475,5625
2/2/2016 11:00,19596,19603,19523,19525,3787
2/2/2016 10:45,19562,19609,19559,19596,4254
2/2/2016 10:30,19566,19605,19551,19560,5251
2/2/2016 10:15,19532,19578,19491,19566,5710
2/2/2016 10:00,19493,19532,19463,19530,5436
2/2/2016 9:45,19392,19510,19390,19492,8408
2/2/2016 9:30,19389,19440,19344,19392,8803
2/2/2016 9:15,19434,19454,19355,19390,5475
