Date,Open,High,Low,Close,Volume
29/10/2015 13:30,22861,22916,22838,22916,3485
29/10/2015 13:15,22854,22880,22839,22860,3388
29/10/2015 13:00,22850,22856,22805,22852,3033
29/10/2015 11:45,22916,22919,22839,22843,2231
29/10/2015 11:30,22860,22935,22858,22915,3338
29/10/2015 11:15,22846,22868,22824,22859,2663
29/10/2015 11:00,22836,22872,22806,22845,3569
29/10/2015 10:45,22803,22853,22796,22837,4222
29/10/2015 10:30,22923,22924,22801,22803,6176
29/10/2015 10:15,22943,22946,22903,22922,3731
29/10/2015 10:00,22905,22960,22903,22942,4209
29/10/2015 9:45,22992,22993,22876,22907,7248
29/10/2015 9:30,23047,23062,22991,22993,4880
29/10/2015 9:15,23036,23074,23018,23044,3271
29/10/2015 9:00,23045,23045,23025,23029,171
28/10/2015 16:00,22954,22984,22948,22976,1222
28/10/2015 15:45,22954,22956,22930,22954,1135
28/10/2015 15:30,22942,22972,22942,22955,723
28/10/2015 15:15,22936,22962,22921,22943,1086
28/10/2015 15:00,22998,23000,22918,22938,1662
28/10/2015 14:45,23010,23011,22986,23000,909
28/10/2015 14:30,23024,23031,22999,23011,842
28/10/2015 14:15,23024,23039,23011,23024,628
28/10/2015 14:00,23025,23034,23009,23022,660
28/10/2015 13:45,23015,23039,23006,23024,884
28/10/2015 13:30,23009,23022,22991,23013,909
28/10/2015 13:15,22987,23025,22979,23009,1126
28/10/2015 13:00,23013,23027,22988,22989,1005
28/10/2015 11:45,22991,23013,22991,23013,544
28/10/2015 11:30,22988,23001,22978,22989,729
28/10/2015 11:15,23013,23015,22974,22987,1518
28/10/2015 11:00,23028,23036,23003,23013,1174
28/10/2015 10:45,23022,23048,23004,23032,1058
28/10/2015 10:30,23041,23054,22987,23022,2179
28/10/2015 10:15,23073,23087,23042,23043,1226
28/10/2015 10:00,23106,23128,23071,23073,1522
28/10/2015 9:45,23050,23107,23044,23107,1682
28/10/2015 9:30,23031,23077,23007,23050,1620
28/10/2015 9:15,23042,23048,22993,23029,966
28/10/2015 9:00,23041,23048,23039,23039,82
27/10/2015 16:00,23128,23135,23070,23075,581
27/10/2015 15:45,23058,23133,23051,23132,642
27/10/2015 15:30,23086,23090,23051,23060,485
27/10/2015 15:15,23113,23122,23069,23083,460
27/10/2015 15:00,23096,23118,23077,23114,361
27/10/2015 14:45,23130,23142,23080,23087,507
