Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG15,Volume,VolumeSMAVG5
15/10/2015 13:45,22829,22895,22829,22864,22866,22826,22755,3681,3693
15/10/2015 13:30,22863,22866,22820,22828,22873,22804,22743,3863,3917
15/10/2015 13:15,22858,22913,22854,22863,22877,22784,22718,3637,4324
15/10/2015 13:00,22922,22928,22837,22857,22856,22756,22688,4134,4661
15/10/2015 11:45,22902,22928,22890,22917,22827,22731,22656,3149,4783
15/10/2015 11:30,22852,22904,22833,22901,22787,22700,22619,4803,5300
15/10/2015 11:15,22754,22854,22737,22849,22734,22677,22585,5897,5595
15/10/2015 11:00,22715,22784,22710,22755,22691,22639,22556,5322,5311
15/10/2015 10:45,22714,22746,22680,22715,22656,22604,22535,4746,5160
15/10/2015 10:30,22637,22750,22634,22714,22635,22570,22516,5731,5423
15/10/2015 10:15,22632,22704,22632,22638,22614,22535,22499,6277,5262
15/10/2015 10:00,22585,22649,22566,22631,22620,22510,22485,4479,4095
15/10/2015 9:45,22609,22633,22571,22583,22587,22489,22469,4566,3915
15/10/2015 9:30,22610,22645,22542,22610,22551,22474,22456,6062,3630
15/10/2015 9:15,22659,22687,22580,22607,22505,22457,22441,4925,3074
15/10/2015 9:00,22677,22677,22650,22670,22456,22442,22430,441,2614
14/10/2015 16:00,22403,22495,22397,22465,22400,22418,22417,3583,3214
14/10/2015 15:45,22381,22407,22369,22402,22390,22410,22416,3138,2893
14/10/2015 15:30,22361,22393,22326,22383,22397,22409,22420,3283,2854
14/10/2015 15:15,22390,22391,22351,22361,22408,22408,22427,2627,2734
14/10/2015 15:00,22414,22433,22360,22391,22427,22418,22433,3438,2813
14/10/2015 14:45,22438,22446,22405,22415,22435,22425,22432,1978,2692
14/10/2015 14:30,22437,22440,22395,22437,22429,22429,22432,2943,2836
14/10/2015 14:15,22455,22481,22426,22437,22421,22432,22426,2684,2819
14/10/2015 14:00,22430,22471,22408,22454,22409,22437,22425,3022,2944
14/10/2015 13:45,22386,22446,22385,22431,22408,22435,22423,2835,2557
14/10/2015 13:30,22396,22428,22375,22386,22415,22431,22419,2697,2303
14/10/2015 13:15,22375,22416,22372,22398,22428,22433,22428,2857,2684
14/10/2015 13:00,22457,22458,22365,22374,22443,22429,22437,3310,3143
14/10/2015 11:45,22465,22465,22430,22452,22465,22433,22447,1085,3531
14/10/2015 11:30,22451,22472,22433,22464,22463,22430,22451,1565,4330
14/10/2015 11:15,22468,22487,22428,22453,22448,22422,22457,4605,4718
14/10/2015 11:00,22488,22554,22468,22470,22437,22427,22467,5151,4560
14/10/2015 10:45,22439,22522,22437,22487,22415,22434,22475,5248,4545
14/10/2015 10:30,22390,22481,22390,22439,22401,22438,22483,5083,4772
14/10/2015 10:15,22403,22404,22352,22389,22397,22445,22492,3502,4511
14/10/2015 10:00,22357,22405,22340,22402,22396,22461,22505,3818,3862
14/10/2015 9:45,22415,22441,22334,22359,22417,22481,22520,5073,3507
14/10/2015 9:30,22414,22484,22385,22416,22454,22505,22533,6386,3077
14/10/2015 9:15,22389,22419,22314,22419,22476,22524,22547,3778,2373
14/10/2015 9:00,22379,22382,22368,22382,22492,22540,22558,257,2544
13/10/2015 16:00,22538,22557,22507,22511,22527,22560,22572,2043,3180
13/10/2015 15:45,22526,22549,22505,22540,22545,22571,22578,2919,3235
13/10/2015 15:30,22501,22533,22481,22526,22555,22573,22580,2867,3231
13/10/2015 15:15,22558,22559,22488,22502,22571,22582,22579,4633,3284
13/10/2015 15:00,22603,22606,22545,22557,22588,22591,22581,3438,2972
13/10/2015 14:45,22588,22618,22578,22602,22593,22594,22585,2318,2923
13/10/2015 14:30,22608,22615,22560,22590,22596,22594,22587,2897,3119
13/10/2015 14:15,22586,22624,22562,22606,22591,22592,22588,3136,3102
13/10/2015 14:00,22582,22590,22540,22586,22593,22584,22585,3069,2995
13/10/2015 13:45,22616,22632,22564,22581,22593,22577,22577,3196,2702
13/10/2015 13:30,22560,22629,22550,22618,22595,22581,22578,3295,2577
13/10/2015 13:15,22618,22629,22556,22562,22592,22583,22581,2813,2862
13/10/2015 13:00,22595,22634,22572,22619,22593,22587,22589,2602,3053
13/10/2015 11:45,22592,22614,22570,22587,22574,22581,22590,1604,3668
13/10/2015 11:30,22602,22605,22539,22591,22561,22569,22591,2570,4343
13/10/2015 11:15,22569,22632,22568,22600,22566,22569,22588,4720,4659
13/10/2015 11:00,22523,22580,22521,22568,22574,22575,22586,3769,5199
13/10/2015 10:45,22525,22537,22450,22523,22581,22586,22589,5678,5198
13/10/2015 10:30,22613,22617,22512,22525,22587,22597,22594,4980,5106
13/10/2015 10:15,22641,22654,22602,22614,22576,22606,22602,4149,4999
13/10/2015 10:00,22609,22768,22605,22638,22573,22599,22602,7418,4203
13/10/2015 9:45,22555,22613,22530,22607,22577,22593,22601,3765,3331
13/10/2015 9:30,22467,22567,22467,22553,22591,22592,22605,5218,3348
13/10/2015 9:15,22600,22642,22442,22470,22607,22598,22615,4445,2872
13/10/2015 9:00,22600,22608,22594,22595,22635,22615,22631,169,2479
12/10/2015 16:00,22680,22697,22645,22658,22626,22617,22640,3056,2997
12/10/2015 15:45,22636,22694,22631,22680,22609,22613,22644,3850,2917
12/10/2015 15:30,22610,22653,22593,22634,22593,22612,22645,2838,2918
12/10/2015 15:15,22545,22611,22533,22610,22588,22619,22646,2484,2807
12/10/2015 15:00,22572,22598,22543,22547,22594,22629,22650,2759,2824
12/10/2015 14:45,22597,22626,22565,22575,22607,22647,22656,2652,2877
12/10/2015 14:30,22607,22608,22555,22599,22617,22662,22663,3855,3073
12/10/2015 14:15,22639,22659,22603,22609,22630,22671,22666,2284,2831
12/10/2015 14:00,22614,22666,22601,22641,22649,22675,22667,2572,2921
12/10/2015 13:45,22625,22648,22595,22613,22664,22678,22658,3024,2670
12/10/2015 13:30,22662,22668,22608,22623,22686,22680,22650,3629,2400
12/10/2015 13:15,22705,22715,22655,22664,22707,22687,22635,2647,2206
12/10/2015 13:00,22722,22745,22670,22706,22712,22685,22616,2731,2420
12/10/2015 11:45,22725,22745,22703,22715,22701,22675,22597,1317,2536
12/10/2015 11:30,22729,22759,22712,22723,22691,22655,22579,1674,2887
12/10/2015 11:15,22691,22748,22676,22726,22674,22632,22559,2659,3206
12/10/2015 11:00,22651,22740,22647,22689,22667,22599,22544,3721,3593
12/10/2015 10:45,22671,22689,22617,22651,22657,22569,22532,3308,3622
12/10/2015 10:30,22637,22702,22637,22668,22650,22545,22526,3071,3928
12/10/2015 10:15,22689,22698,22627,22636,22619,22522,22519,3269,3868
12/10/2015 10:00,22643,22715,22616,22689,22589,22501,22516,4595,3265
12/10/2015 9:45,22615,22650,22593,22642,22532,22483,22510,3865,3029
12/10/2015 9:30,22512,22643,22482,22615,22480,22470,22511,4838,3375
12/10/2015 9:15,22494,22522,22448,22515,22440,22464,22514,2774,3231
12/10/2015 9:00,22483,22489,22462,22484,22425,22469,22525,253,3567
9/10/2015 16:00,22381,22422,22326,22403,22413,22480,22544,3416,4461
9/10/2015 15:45,22418,22418,22347,22382,22434,22500,22565,5594,4391
9/10/2015 15:30,22442,22481,22405,22418,22460,22527,22587,4116,4005
9/10/2015 15:15,22426,22461,22388,22440,22488,22550,22604,4457,4069
9/10/2015 15:00,22505,22506,22406,22424,22512,22575,22620,4720,3873
9/10/2015 14:45,22516,22519,22463,22504,22546,22609,22636,3070,3796
9/10/2015 14:30,22554,22584,22490,22516,22565,22631,22648,3664,3948
9/10/2015 14:15,22561,22587,22514,22554,22593,22651,22659,4433,3901
9/10/2015 14:00,22591,22625,22555,22564,22613,22663,22670,3479,3684
9/10/2015 13:45,22599,22625,22547,22593,22638,22673,22675,4332,3551
9/10/2015 13:30,22654,22660,22591,22600,22671,22681,22674,3832,3124
9/10/2015 13:15,22655,22713,22642,22654,22696,22690,22662,3427,2935
9/10/2015 13:00,22707,22712,22630,22655,22709,22692,22639,3348,2864
9/10/2015 11:45,22758,22758,22678,22688,22712,22698,22614,2816,2594
9/10/2015 11:30,22726,22788,22720,22759,22709,22694,22583,2195,2600
9/10/2015 11:15,22718,22764,22715,22726,22691,22676,22550,2890,2710
9/10/2015 11:00,22671,22731,22671,22717,22683,22645,22517,3069,3120
9/10/2015 10:45,22669,22685,22651,22670,22676,22605,22484,1999,3534
9/10/2015 10:30,22670,22696,22640,22671,22684,22566,22452,2846,4601
9/10/2015 10:15,22687,22708,22654,22672,22679,22521,22420,2745,4998
9/10/2015 10:00,22678,22756,22673,22687,22661,22479,22391,4941,4514
9/10/2015 9:45,22710,22744,22634,22678,22607,22433,22363,5139,4216
9/10/2015 9:30,22650,22711,22593,22710,22534,22388,22334,7334,4143
9/10/2015 9:15,22588,22654,22530,22648,22447,22337,22304,4829,3126
9/10/2015 9:00,22600,22600,22580,22580,22362,22290,22282,326,2757
8/10/2015 16:00,22312,22435,22304,22419,22298,22257,22263,3451,3321
8/10/2015 15:45,22280,22349,22280,22312,22260,22241,22260,4774,3135
8/10/2015 15:30,22220,22285,22212,22278,22242,22234,22266,2251,2653
8/10/2015 15:15,22258,22268,22203,22223,22226,22233,22270,2981,2857
8/10/2015 15:00,22231,22287,22219,22257,22218,22242,22276,3150,3192
8/10/2015 14:45,22223,22239,22182,22228,22215,22245,22279,2520,3019
8/10/2015 14:30,22198,22245,22194,22226,22222,22260,22287,2363,2926
8/10/2015 14:15,22177,22218,22151,22198,22226,22277,22290,3271,3037
8/10/2015 14:00,22245,22290,22163,22179,22239,22292,22300,4656,2757
8/10/2015 13:45,22261,22279,22230,22245,22266,22305,22318,2283,2135
8/10/2015 13:30,22245,22287,22239,22264,22276,22311,22339,2058,2119
8/10/2015 13:15,22266,22281,22220,22243,22297,22320,22353,2918,2273
8/10/2015 13:00,22288,22313,22258,22266,22328,22322,22369,1870,2244
8/10/2015 11:45,22289,22322,22280,22313,22345,22330,22381,1544,2449
8/10/2015 11:30,22368,22368,22276,22292,22343,22344,22383,2207,2663
8/10/2015 11:15,22398,22418,22346,22370,22346,22371,22385,2827,2957
8/10/2015 11:00,22347,22403,22343,22401,22343,22381,22378,2772,3128
8/10/2015 10:45,22304,22368,22300,22348,22315,22389,22370,2897,3737
8/10/2015 10:30,22304,22339,22282,22304,22315,22400,22364,2610,4306
8/10/2015 10:15,22354,22365,22258,22306,22345,22403,22353,3677,5114
8/10/2015 10:00,22261,22358,22254,22356,22396,22404,22343,3684,4460
8/10/2015 9:45,22349,22408,22245,22262,22419,22396,22329,5819,4592
8/10/2015 9:30,22454,22475,22336,22349,22463,22398,22317,5738,4603
8/10/2015 9:15,22555,22600,22412,22452,22484,22388,22299,6651,4633
8/10/2015 9:00,22525,22560,22525,22560,22460,22357,22271,408,3943
7/10/2015 16:00,22480,22488,22430,22473,22412,22316,22235,4345,4685
7/10/2015 15:45,22455,22492,22413,22480,22373,22283,22201,5875,4410
7/10/2015 15:30,22331,22477,22319,22455,22333,22244,22166,5888,4688
7/10/2015 15:15,22320,22334,22265,22333,22292,22207,22134,3201,4085
7/10/2015 15:00,22274,22340,22229,22320,22253,22176,22112,4118,4022
7/10/2015 14:45,22285,22306,22248,22275,22220,22146,22086,2966,3554
7/10/2015 14:30,22249,22360,22204,22284,22194,22115,22061,7268,3689
7/10/2015 14:15,22138,22255,22134,22250,22155,22083,22035,2870,2586
7/10/2015 14:00,22149,22159,22085,22138,22121,22055,22006,2889,2717
7/10/2015 13:45,22145,22159,22127,22151,22098,22041,21983,1775,2398
7/10/2015 13:30,22090,22178,22088,22148,22072,22019,21963,3645,2764
7/10/2015 13:15,22074,22107,22066,22090,22035,21994,21937,1750,2457
7/10/2015 13:00,22071,22116,22043,22077,22010,21975,21914,3527,2836
7/10/2015 11:45,22021,22037,22007,22025,21990,21949,21895,1294,2815
7/10/2015 11:30,21964,22060,21951,22022,21983,21926,21879,3605,3221
7/10/2015 11:15,21965,21994,21962,21962,21965,21908,21861,2108,3030
7/10/2015 11:00,21975,21979,21894,21966,21953,21888,21847,3646,3385
7/10/2015 10:45,21989,22028,21950,21975,21940,21866,21834,3422,3433
7/10/2015 10:30,21930,21995,21923,21990,21909,21847,21817,3325,3539
7/10/2015 10:15,21903,21949,21881,21930,21868,21827,21799,2649,3507
7/10/2015 10:00,21902,21937,21862,21904,21851,21809,21787,3882,3018
7/10/2015 9:45,21820,21904,21815,21901,21823,21794,21784,3885,2843
7/10/2015 9:30,21791,21844,21755,21818,21793,21781,21781,3952,2627
7/10/2015 9:15,21840,21842,21773,21788,21786,21772,21781,3166,2311
7/10/2015 9:00,21850,21851,21830,21845,21785,21765,21785,204,2548
6/10/2015 16:00,21747,21770,21692,21764,21767,21756,21786,3010,2964
6/10/2015 15:45,21785,21785,21740,21748,21765,21765,21791,2803,2748
6/10/2015 15:30,21783,21791,21756,21786,21769,21776,21798,2374,2780
6/10/2015 15:15,21756,21835,21737,21783,21757,21779,21805,4349,2609
6/10/2015 15:00,21754,21759,21716,21755,21745,21785,21816,2284,2609
6/10/2015 14:45,21767,21772,21723,21754,21744,21795,21831,1928,3222
6/10/2015 14:30,21729,21785,21727,21767,21765,21804,21845,2965,3182
6/10/2015 14:15,21720,21734,21707,21728,21782,21812,21859,1520,2840
6/10/2015 14:00,21750,21772,21682,21720,21800,21829,21876,4349,2920
6/10/2015 13:45,21858,21859,21693,21750,21825,21852,21898,5350,2290
6/10/2015 13:30,21854,21882,21849,21860,21846,21875,21925,1727,1707
6/10/2015 13:15,21821,21863,21821,21852,21843,21886,21924,1255,1964
6/10/2015 13:00,21849,21854,21807,21818,21842,21898,21924,1918,2241
6/10/2015 11:45,21855,21861,21833,21845,21858,21914,21922,1200,2566
6/10/2015 11:30,21845,21892,21839,21855,21879,21935,21918,2437,2707
6/10/2015 11:15,21843,21863,21790,21847,21904,21964,21913,3010,2514
6/10/2015 11:00,21900,21906,21839,21844,21928,21964,21907,2640,2429
6/10/2015 10:45,21953,21954,21858,21900,21954,21965,21904,3543,2511
6/10/2015 10:30,21978,21988,21937,21951,21969,21954,21895,1907,2850
6/10/2015 10:15,21966,21983,21949,21977,21990,21937,21882,1468,3352
6/10/2015 10:00,21980,21995,21934,21966,22024,21917,21868,2586,3132
6/10/2015 9:45,21976,22012,21966,21978,22000,21897,21853,3053,3283
6/10/2015 9:30,22053,22067,21957,21975,21976,21879,21841,5238,3475
6/10/2015 9:15,22146,22149,22019,22052,21938,21857,21832,4416,2898
6/10/2015 9:00,22137,22148,22128,22148,21884,21829,21821,367,2383
5/10/2015 16:00,21857,21875,21832,21846,21810,21790,21801,3341,2976
5/10/2015 15:45,21788,21859,21788,21857,21794,21779,21801,4013,2773
5/10/2015 15:30,21780,21810,21776,21789,21782,21774,21800,2351,2507
5/10/2015 15:15,21780,21792,21752,21780,21776,21779,21807,1843,2338
5/10/2015 15:00,21764,21793,21735,21780,21774,21790,21814,3334,2316
5/10/2015 14:45,21799,21809,21741,21762,21769,21797,21820,2326,2236
5/10/2015 14:30,21760,21844,21758,21797,21765,21805,21831,2682,2508
5/10/2015 14:15,21765,21786,21746,21763,21767,21809,21835,1504,2346
5/10/2015 14:00,21755,21779,21747,21767,21781,21823,21844,1736,2464
5/10/2015 13:45,21741,21767,21700,21755,21805,21834,21852,2930,2487
5/10/2015 13:30,21805,21807,21724,21742,21824,21846,21858,3689,2269
5/10/2015 13:15,21834,21852,21806,21806,21845,21864,21842,1872,1786
5/10/2015 13:00,21890,21894,21823,21836,21852,21869,21821,2094,1981
5/10/2015 11:45,21849,21895,21835,21888,21864,21875,21797,1851,1883
5/10/2015 11:30,21846,21872,21836,21849,21863,21876,21768,1838,1918
5/10/2015 11:15,21841,21855,21833,21846,21868,21875,21738,1274,2018
